证券代码,证券简称,日期,收盘价,成交量,成交金额
399933.SZ,800医卫,20260403,8063.2006,1.0256771E9,3.88390345906E10
000300.SH,沪深300,20260402,4478.9141,1.90992161E10,4.299491317E11
399933.SZ,800医卫,20260402,8215.9696,1.2912344E9,5.05336573426E10
000300.SH,沪深300,20260401,4526.0668,2.16483196E10,5.03744056996E11
399933.SZ,800医卫,20260401,8225.6716,1.4165539E9,5.32618204315E10
000300.SH,沪深300,20260331,4450.0493,2.24541585E10,4.84558113011E11
399933.SZ,800医卫,20260331,7955.1091,1.0889561E9,4.22962398943E10
000300.SH,沪深300,20260330,4491.95,2.09293092E10,4.44629519711E11
399933.SZ,800医卫,20260330,7989.0731,1.1109128E9,3.93543816661E10
000300.SH,沪深300,20260329,4502.5698,,
399933.SZ,800医卫,20260329,7926.4191,,
000300.SH,沪深300,20260328,4502.5698,,
399933.SZ,800医卫,20260328,7926.4191,,
000300.SH,沪深300,20260327,4502.5698,1.92400388E10,4.40517561617E11
399933.SZ,800医卫,20260327,7926.4191,1.1236727E9,4.05518722182E10
000300.SH,沪深300,20260326,4477.5343,2.13736788E10,4.71127498414E11
399933.SZ,800医卫,20260326,7665.8304,8.806967E8,2.8547342887E10
000300.SH,沪深300,20260325,4537.4656,2.62639279E10,5.50428161188E11
399933.SZ,800医卫,20260325,7780.2327,9.504473E8,2.96524954821E10
000300.SH,沪深300,20260324,4474.7224,2.55532517E10,5.30149390314E11
399933.SZ,800医卫,20260324,7726.9384,9.795946E8,3.34995267808E10
000300.SH,沪深300,20260323,4417.9971,3.28081945E10,6.71719761061E11
399933.SZ,800医卫,20260323,7547.9283,1.3987714E9,4.18133633128E10
000300.SH,沪深300,20260322,4567.0179,,
399933.SZ,800医卫,20260322,7857.3467,,
000300.SH,沪深300,20260321,4567.0179,,
399933.SZ,800医卫,20260321,7857.3467,,
000300.SH,沪深300,20260320,4567.0179,2.57873703E10,6.15463088558E11
399933.SZ,800医卫,20260320,7857.3467,1.028455E9,3.41951591881E10
000300.SH,沪深300,20260319,4583.2511,2.54130449E10,5.47850295789E11
399933.SZ,800医卫,20260319,7945.2758,9.474349E8,3.15917291557E10
000300.SH,沪深300,20260318,4658.3324,2.34690705E10,5.24173911454E11
399933.SZ,800医卫,20260318,8068.0857,7.966944E8,2.77622582286E10
000300.SH,沪深300,20260317,4637.4392,2.63021913E10,5.78501505808E11
399933.SZ,800医卫,20260317,8051.306,1.0060432E9,3.56211389805E10
000300.SH,沪深300,20260316,4671.5591,2.9621507E10,5.98799098356E11
399933.SZ,800医卫,20260316,8019.2604,9.548122E8,3.04914409417E10
000300.SH,沪深300,20260315,4669.14,,
399933.SZ,800医卫,20260315,7983.6112,,
000300.SH,沪深300,20260314,4669.14,,
399933.SZ,800医卫,20260314,7983.6112,,
000300.SH,沪深300,20260313,4669.14,3.10772009E10,5.80305608198E11
399933.SZ,800医卫,20260313,7983.6112,8.730654E8,2.75490679909E10
000300.SH,沪深300,20260312,4687.5601,3.02986816E10,5.72105482464E11
399933.SZ,800医卫,20260312,8013.8407,9.463598E8,2.97975413612E10
000300.SH,沪深300,20260311,4704.4959,2.70175443E10,5.7956439758E11
399933.SZ,800医卫,20260311,8064.441,8.527384E8,2.81063461847E10
000300.SH,沪深300,20260310,4674.7562,2.63903748E10,5.57607876149E11
399933.SZ,800医卫,20260310,8085.3181,8.809398E8,2.9573154255E10
000300.SH,沪深300,20260309,4615.4551,3.22787617E10,6.65821508005E11
399933.SZ,800医卫,20260309,7921.5168,1.0190784E9,3.18173828536E10
000300.SH,沪深300,20260308,4660.439,,
399933.SZ,800医卫,20260308,8009.0483,,
000300.SH,沪深300,20260307,4660.439,,
399933.SZ,800医卫,20260307,8009.0483,,
000300.SH,沪深300,20260306,4660.439,2.38527926E10,4.87807080157E11
399933.SZ,800医卫,20260306,8009.0483,9.57837E8,3.15876892738E10
000300.SH,沪深300,20260305,4647.6921,2.59317825E10,5.70443777085E11
399933.SZ,800医卫,20260305,7831.5759,8.418447E8,2.68193080598E10
000300.SH,沪深300,20260304,4602.6247,3.03035666E10,6.0892312859E11
399933.SZ,800医卫,20260304,7797.8584,1.0685116E9,3.28995003986E10
000300.SH,沪深300,20260303,4655.8962,3.70624272E10,8.0165924377E11
399933.SZ,800医卫,20260303,7895.2619,1.4742967E9,4.31421483306E10
000300.SH,沪深300,20260302,4728.6688,3.49260752E10,7.5268193777E11
399933.SZ,800医卫,20260302,8043.4177,1.3108757E9,4.02399538311E10
000300.SH,沪深300,20260301,4710.6469,,
399933.SZ,800医卫,20260301,8180.3696,,
000300.SH,沪深300,20260228,4710.6469,,
399933.SZ,800医卫,20260228,8180.3696,,
000300.SH,沪深300,20260227,4710.6469,2.61420865E10,5.7882099251E11
399933.SZ,800医卫,20260227,8180.3696,8.216231E8,2.61824700224E10
000300.SH,沪深300,20260226,4726.8739,2.34847644E10,5.99848915405E11
399933.SZ,800医卫,20260226,8171.4983,9.369973E8,3.20682720655E10
000300.SH,沪深300,20260225,4735.8858,2.84268354E10,5.96903872617E11
399933.SZ,800医卫,20260225,8257.6456,1.077441E9,3.0690015152E10
000300.SH,沪深300,20260224,4707.544,2.1848889E10,5.26084235584E11
399933.SZ,800医卫,20260224,8203.6225,9.739632E8,2.73371964224E10
000300.SH,沪深300,20260223,4660.4056,,
399933.SZ,800医卫,20260223,8202.0249,,
000300.SH,沪深300,20260222,4660.4056,,
399933.SZ,800医卫,20260222,8202.0249,,
000300.SH,沪深300,20260221,4660.4056,,
399933.SZ,800医卫,20260221,8202.0249,,
000300.SH,沪深300,20260220,4660.4056,,
399933.SZ,800医卫,20260220,8202.0249,,
000300.SH,沪深300,20260219,4660.4056,,
399933.SZ,800医卫,20260219,8202.0249,,
000300.SH,沪深300,20260218,4660.4056,,
399933.SZ,800医卫,20260218,8202.0249,,
000300.SH,沪深300,20260217,4660.4056,,
399933.SZ,800医卫,20260217,8202.0249,,
000300.SH,沪深300,20260216,4660.4056,,
399933.SZ,800医卫,20260216,8202.0249,,
000300.SH,沪深300,20260215,4660.4056,,
399933.SZ,800医卫,20260215,8202.0249,,
000300.SH,沪深300,20260214,4660.4056,,
399933.SZ,800医卫,20260214,8202.0249,,
000300.SH,沪深300,20260213,4660.4056,1.89167756E10,4.52878594069E11
399933.SZ,800医卫,20260213,8202.0249,8.862979E8,2.48498364671E10
000300.SH,沪深300,20260212,4719.578,1.97841439E10,4.90473852275E11
399933.SZ,800医卫,20260212,8317.187,9.021067E8,2.76665482959E10
000300.SH,沪深300,20260211,4713.8185,1.73391681E10,4.33428613402E11
399933.SZ,800医卫,20260211,8356.8354,8.301714E8,2.57522634949E10
000300.SH,沪深300,20260210,4724.2956,1.87000958E10,4.50339578978E11
399933.SZ,800医卫,20260210,8351.2728,1.0200381E9,3.257134344E10
000300.SH,沪深300,20260209,4719.0559,2.07251938E10,5.22757267199E11
